label,dataset,batch,M,N,threshold,order,replicas,iterations,mean_ms,min_ms,max_ms,std_ms,total_ms,cpu_peak_percent,rss_peak_mb,gpu_util_avg,gpu_util_peak,gpu_mem_peak_mb,timestamp
static_0_B100_M4,synthetic,100,4,4,0.05,2,1,10,126.896,114.008,151.902,10.0654,1268.96,194.6,111.06640625,1.8214285714285714,3.0,61.0,2025-11-24T22:47:06.550262
static_1_B500_M8,synthetic,500,8,8,0.2,2,1,10,121.786,117.805,131.024,3.79674,1217.8600000000001,195.5,113.2109375,2.5454545454545454,3.0,61.0,2025-11-24T22:47:08.831129
static_2_B1000_M12,synthetic,1000,12,12,0.2,2,1,10,157.493,149.921,189.711,11.4186,1574.9299999999998,195.5,122.87890625,2.606060606060606,3.0,61.0,2025-11-24T22:47:11.495123
static_3_B30_M16,synthetic,30,16,16,0.2,2,1,10,117.772,111.897,127.268,5.00889,1177.72,195.0,111.8203125,2.1481481481481484,3.0,61.0,2025-11-24T22:47:13.815534
static_4_B5000_M24,synthetic,5000,24,24,0.2,2,1,10,1572.63,1550.01,1602.56,14.7956,15726.300000000001,195.4,502.390625,0.6490486257928119,3.0,61.0,2025-11-24T22:47:30.825392
static_5_B8000_M32,synthetic,8000,32,32,0.2,2,1,10,5099.24,5026.91,5190.2,46.2609,50992.399999999994,196.3,1499.22265625,0.17564870259481039,1.0,61.0,2025-11-24T22:48:23.106181
static_6_B12000_M40,synthetic,12000,40,40,0.2,2,1,10,14031.6,13707.0,14340.5,189.699,140316.0,196.4,3885.25390625,0.07234363225320271,1.0,61.0,2025-11-24T22:50:44.745335
static_7_B15_M56,synthetic,15,56,56,0.2,2,1,10,165.609,152.703,218.169,18.9865,1656.0900000000001,195.7,122.59765625,1.3676470588235294,2.0,61.0,2025-11-24T22:50:47.634465
static_8_B18000_M72,synthetic,18000,72,72,0.2,2,1,10,3421.28,3398.29,3444.6,12.8928,34212.8,196.4,389.28125,0.33581296493092455,2.0,61.0,2025-11-24T22:51:23.079922
static_9_B20000_M96,synthetic,20000,96,96,0.2,2,1,10,6650.13,6593.19,6798.04,62.2842,66501.3,196.8,736.18359375,0.16704805491990846,1.0,61.0,2025-11-24T22:52:30.921218
