label,dataset,batch,M,N,threshold,order,replicas,iterations,mean_ms,min_ms,max_ms,std_ms,total_ms,cpu_peak_percent,rss_peak_mb,gpu_util_avg,gpu_util_peak,gpu_mem_peak_mb,timestamp
static_0_B100_M4,synthetic,100,4,4,0.2,3,100,1,237.906,237.906,237.906,0.0,237.906,193.8,162.4296875,0.0,0.0,71.0,2025-12-30T23:32:29.931223
static_1_B500_M8,synthetic,500,8,8,0.2,3,100,1,219.58,219.58,219.58,0.0,219.58,193.0,167.25390625,1.0666666666666667,2.0,71.0,2025-12-30T23:32:30.650152
static_2_B1000_M12,synthetic,1000,12,12,0.2,3,100,1,811.165,811.165,811.165,0.0,811.165,193.9,175.68359375,11.0,20.0,513.0,2025-12-30T23:32:31.922715
static_3_B30_M16,synthetic,30,16,16,0.2,3,100,1,178.858,178.858,178.858,0.0,178.858,193.7,166.28125,29.846153846153847,52.0,71.0,2025-12-30T23:32:32.536094
static_4_B5000_M24,synthetic,5000,24,24,0.2,3,100,1,1258.14,1258.14,1258.14,0.0,1258.14,195.2,510.60546875,29.463414634146343,52.0,1667.0,2025-12-30T23:32:34.219646
static_5_B8000_M32,synthetic,8000,32,32,0.2,3,100,1,4482.91,4482.91,4482.91,0.0,4482.91,194.7,1448.03125,33.1965811965812,55.0,2261.0,2025-12-30T23:32:39.145145
static_6_B12000_M40,synthetic,12000,40,40,0.2,3,100,1,13603.6,13603.6,13603.6,0.0,13603.6,196.2,3732.65625,36.964630225080384,74.0,3221.0,2025-12-30T23:32:53.254662
static_7_B15_M56,synthetic,15,56,56,0.2,3,100,1,244.314,244.314,244.314,0.0,244.314,195.0,176.703125,8.066666666666666,54.0,83.0,2025-12-30T23:32:53.930205
static_8_B18000_M72,synthetic,18000,72,72,0.2,3,100,1,3742.3,3742.3,3742.3,0.0,3742.3,194.9,458.953125,1.9807692307692308,7.0,61.0,2025-12-30T23:32:58.149249
static_9_B20000_M96,synthetic,20000,96,96,0.2,3,100,1,7081.61,7081.61,7081.61,0.0,7081.61,195.1,809.60546875,0.17989417989417988,1.0,61.0,2025-12-30T23:33:05.694880
