label,dataset,batch,M,N,threshold,order,replicas,iterations,mean_ms,min_ms,max_ms,std_ms,total_ms,cpu_peak_percent,rss_peak_mb,gpu_util_avg,gpu_util_peak,gpu_mem_peak_mb,timestamp
static_0_B100_M4,synthetic,100,4,4,0.05,2,1,10,175.105,141.684,338.991,59.0277,1751.05,194.1,167.67578125,1.65,3.0,63.0,2025-11-24T21:36:44.893381
static_1_B500_M8,synthetic,500,8,8,0.2,2,1,10,158.271,146.538,215.776,19.4808,1582.7099999999998,194.6,169.390625,2.6440677966101696,3.0,65.0,2025-11-24T21:36:47.770424
static_2_B1000_M12,synthetic,1000,12,12,0.2,2,1,10,200.632,179.083,337.97,46.0312,2006.3200000000002,194.3,181.84375,4.955882352941177,7.0,109.0,2025-11-24T21:36:51.122832
static_3_B30_M16,synthetic,30,16,16,0.2,2,1,10,157.182,142.433,219.339,21.0485,1571.82,194.0,168.53515625,3.7413793103448274,7.0,65.0,2025-11-24T21:36:54.042617
static_4_B5000_M24,synthetic,5000,24,24,0.2,2,1,10,923.524,874.767,1029.24,47.0495,9235.24,195.0,508.0625,28.46153846153846,34.0,1661.0,2025-11-24T21:37:04.596921
static_5_B8000_M32,synthetic,8000,32,32,0.2,2,1,10,3011.18,2843.12,3538.91,194.385,30111.8,194.9,1478.3671875,35.326836581709145,56.0,2263.0,2025-11-24T21:37:36.050570
static_6_B12000_M40,synthetic,12000,40,40,0.2,2,1,10,7814.14,7198.52,9663.3,659.447,78141.40000000001,195.3,3857.9375,36.48069390039172,83.0,3215.0,2025-11-24T21:38:55.708083
static_7_B15_M56,synthetic,15,56,56,0.2,2,1,10,190.998,165.473,251.652,29.519,1909.98,287.1,187.05859375,5.983870967741935,9.0,131.0,2025-11-24T21:38:58.984667
static_8_B18000_M72,synthetic,18000,72,72,0.2,2,1,10,3874.33,3673.94,3982.53,87.7168,38743.3,194.6,389.02734375,0.38177874186550975,7.0,61.0,2025-11-24T21:39:39.140388
static_9_B20000_M96,synthetic,20000,96,96,0.2,2,1,10,7401.54,7249.26,7478.97,62.0138,74015.4,195.1,736.0390625,0.14784151389710232,1.0,61.0,2025-11-24T21:40:54.618050
