dimension,funcion,repeticion,tiempo_s
150,ft.maxmin,0,0.135908842086792
150,ft.maxmin,1,0.00020360946655273438
150,ft.maxmin,2,0.00017833709716796875
150,ft.maxmin,3,0.00019812583923339844
150,ft.maxmin,4,0.00017142295837402344
150,ft.maxmin,5,0.00016832351684570312
150,ft.maxmin,6,0.00016808509826660156
150,ft.maxmin,7,0.00017070770263671875
150,ft.maxmin,8,0.00016427040100097656
150,ft.maxmin,9,0.00016260147094726562
150,iterative_maxmin_cuadrado,0,0.773221492767334
150,iterative_maxmin_cuadrado,1,0.007874250411987305
150,iterative_maxmin_cuadrado,2,0.007527828216552734
150,iterative_maxmin_cuadrado,3,0.0076732635498046875
150,iterative_maxmin_cuadrado,4,0.00787663459777832
150,iterative_maxmin_cuadrado,5,0.007311344146728516
150,iterative_maxmin_cuadrado,6,0.007284641265869141
150,iterative_maxmin_cuadrado,7,0.007550716400146484
150,iterative_maxmin_cuadrado,8,0.007341861724853516
150,iterative_maxmin_cuadrado,9,0.007413387298583984
300,ft.maxmin,0,0.001100301742553711
300,ft.maxmin,1,0.0009660720825195312
300,ft.maxmin,2,0.0009398460388183594
300,ft.maxmin,3,0.0009293556213378906
300,ft.maxmin,4,0.0009305477142333984
300,ft.maxmin,5,0.0009744167327880859
300,ft.maxmin,6,0.0009381771087646484
300,ft.maxmin,7,0.0009386539459228516
300,ft.maxmin,8,0.0009353160858154297
300,ft.maxmin,9,0.0009260177612304688
300,iterative_maxmin_cuadrado,0,0.008106470108032227
300,iterative_maxmin_cuadrado,1,0.00834345817565918
300,iterative_maxmin_cuadrado,2,0.008422613143920898
300,iterative_maxmin_cuadrado,3,0.00821232795715332
300,iterative_maxmin_cuadrado,4,0.007954597473144531
300,iterative_maxmin_cuadrado,5,0.008205413818359375
300,iterative_maxmin_cuadrado,6,0.007769584655761719
300,iterative_maxmin_cuadrado,7,0.008095264434814453
300,iterative_maxmin_cuadrado,8,0.008257150650024414
300,iterative_maxmin_cuadrado,9,0.007948160171508789
600,ft.maxmin,0,0.006424903869628906
600,ft.maxmin,1,0.0063130855560302734
600,ft.maxmin,2,0.006336688995361328
600,ft.maxmin,3,0.006340742111206055
600,ft.maxmin,4,0.006339550018310547
600,ft.maxmin,5,0.006305217742919922
600,ft.maxmin,6,0.006306648254394531
600,ft.maxmin,7,0.006316423416137695
600,ft.maxmin,8,0.006323337554931641
600,ft.maxmin,9,0.006325721740722656
600,iterative_maxmin_cuadrado,0,0.01586294174194336
600,iterative_maxmin_cuadrado,1,0.013926506042480469
600,iterative_maxmin_cuadrado,2,0.013982772827148438
600,iterative_maxmin_cuadrado,3,0.013870477676391602
600,iterative_maxmin_cuadrado,4,0.014249801635742188
600,iterative_maxmin_cuadrado,5,0.014376401901245117
600,iterative_maxmin_cuadrado,6,0.014932632446289062
600,iterative_maxmin_cuadrado,7,0.016820907592773438
600,iterative_maxmin_cuadrado,8,0.02280902862548828
600,iterative_maxmin_cuadrado,9,0.014549493789672852
700,ft.maxmin,0,0.009677410125732422
700,ft.maxmin,1,0.009594917297363281
700,ft.maxmin,2,0.009622573852539062
700,ft.maxmin,3,0.009618282318115234
700,ft.maxmin,4,0.009620189666748047
700,ft.maxmin,5,0.009623289108276367
700,ft.maxmin,6,0.009617328643798828
700,ft.maxmin,7,0.009607076644897461
700,ft.maxmin,8,0.009624958038330078
700,ft.maxmin,9,0.009633779525756836
700,iterative_maxmin_cuadrado,0,0.017211437225341797
700,iterative_maxmin_cuadrado,1,0.016732215881347656
700,iterative_maxmin_cuadrado,2,0.02058577537536621
700,iterative_maxmin_cuadrado,3,0.02473735809326172
700,iterative_maxmin_cuadrado,4,0.017269611358642578
700,iterative_maxmin_cuadrado,5,0.029427289962768555
700,iterative_maxmin_cuadrado,6,0.020496845245361328
700,iterative_maxmin_cuadrado,7,0.01770758628845215
700,iterative_maxmin_cuadrado,8,0.018905162811279297
700,iterative_maxmin_cuadrado,9,0.025852680206298828
900,ft.maxmin,0,0.0245664119720459
900,ft.maxmin,1,0.024425029754638672
900,ft.maxmin,2,0.024318695068359375
900,ft.maxmin,3,0.024507522583007812
900,ft.maxmin,4,0.02433300018310547
900,ft.maxmin,5,0.024367570877075195
900,ft.maxmin,6,0.02425980567932129
900,ft.maxmin,7,0.024469375610351562
900,ft.maxmin,8,0.024401426315307617
900,ft.maxmin,9,0.024415969848632812
900,iterative_maxmin_cuadrado,0,0.02971363067626953
900,iterative_maxmin_cuadrado,1,0.04782533645629883
900,iterative_maxmin_cuadrado,2,0.05587005615234375
900,iterative_maxmin_cuadrado,3,0.033780574798583984
900,iterative_maxmin_cuadrado,4,0.038649559020996094
900,iterative_maxmin_cuadrado,5,0.033576011657714844
900,iterative_maxmin_cuadrado,6,0.045024871826171875
900,iterative_maxmin_cuadrado,7,0.03996586799621582
900,iterative_maxmin_cuadrado,8,0.03563833236694336
900,iterative_maxmin_cuadrado,9,0.03352713584899902
1200,ft.maxmin,0,0.07541227340698242
1200,ft.maxmin,1,0.07508611679077148
1200,ft.maxmin,2,0.07514810562133789
1200,ft.maxmin,3,0.0751492977142334
1200,ft.maxmin,4,0.07521319389343262
1200,ft.maxmin,5,0.07514190673828125
1200,ft.maxmin,6,0.0751039981842041
1200,ft.maxmin,7,0.07520532608032227
1200,ft.maxmin,8,0.07510805130004883
1200,ft.maxmin,9,0.07508587837219238
1200,iterative_maxmin_cuadrado,0,0.060134172439575195
1200,iterative_maxmin_cuadrado,1,0.0561528205871582
1200,iterative_maxmin_cuadrado,2,0.05669450759887695
1200,iterative_maxmin_cuadrado,3,0.06009936332702637
1200,iterative_maxmin_cuadrado,4,0.05874967575073242
1200,iterative_maxmin_cuadrado,5,0.05969643592834473
1200,iterative_maxmin_cuadrado,6,0.06580924987792969
1200,iterative_maxmin_cuadrado,7,0.05571722984313965
1200,iterative_maxmin_cuadrado,8,0.055925846099853516
1200,iterative_maxmin_cuadrado,9,0.05648612976074219
