dimension,funcion,repeticion,tiempo_s
150,ft.maxmin,0,0.0004658699035644531
150,ft.maxmin,1,0.0003275871276855469
150,ft.maxmin,2,0.0003139972686767578
150,ft.maxmin,3,0.0003066062927246094
150,ft.maxmin,4,0.0003075599670410156
150,ft.maxmin,5,0.0003037452697753906
150,ft.maxmin,6,0.0003018379211425781
150,ft.maxmin,7,0.0003027915954589844
150,ft.maxmin,8,0.00030112266540527344
150,ft.maxmin,9,0.0003046989440917969
150,iterative_maxmin_cuadrado,0,0.008600711822509766
150,iterative_maxmin_cuadrado,1,0.009421110153198242
150,iterative_maxmin_cuadrado,2,0.010262012481689453
150,iterative_maxmin_cuadrado,3,0.008580207824707031
150,iterative_maxmin_cuadrado,4,0.008462905883789062
150,iterative_maxmin_cuadrado,5,0.008606910705566406
150,iterative_maxmin_cuadrado,6,0.008895635604858398
150,iterative_maxmin_cuadrado,7,0.00905609130859375
150,iterative_maxmin_cuadrado,8,0.011996984481811523
150,iterative_maxmin_cuadrado,9,0.014368057250976562
300,ft.maxmin,0,0.0005745887756347656
300,ft.maxmin,1,0.0004730224609375
300,ft.maxmin,2,0.00044798851013183594
300,ft.maxmin,3,0.0004458427429199219
300,ft.maxmin,4,0.00043892860412597656
300,ft.maxmin,5,0.00043845176696777344
300,ft.maxmin,6,0.0004391670227050781
300,ft.maxmin,7,0.00043964385986328125
300,ft.maxmin,8,0.0004374980926513672
300,ft.maxmin,9,0.0004363059997558594
300,iterative_maxmin_cuadrado,0,0.009340286254882812
300,iterative_maxmin_cuadrado,1,0.009459733963012695
300,iterative_maxmin_cuadrado,2,0.009523630142211914
300,iterative_maxmin_cuadrado,3,0.00932621955871582
300,iterative_maxmin_cuadrado,4,0.010046958923339844
300,iterative_maxmin_cuadrado,5,0.00963139533996582
300,iterative_maxmin_cuadrado,6,0.009749650955200195
300,iterative_maxmin_cuadrado,7,0.009468317031860352
300,iterative_maxmin_cuadrado,8,0.008980989456176758
300,iterative_maxmin_cuadrado,9,0.009194374084472656
600,ft.maxmin,0,0.0011067390441894531
600,ft.maxmin,1,0.0010211467742919922
600,ft.maxmin,2,0.0010089874267578125
600,ft.maxmin,3,0.0010023117065429688
600,ft.maxmin,4,0.0010004043579101562
600,ft.maxmin,5,0.0010101795196533203
600,ft.maxmin,6,0.0010018348693847656
600,ft.maxmin,7,0.0009992122650146484
600,ft.maxmin,8,0.0009975433349609375
600,ft.maxmin,9,0.0010042190551757812
600,iterative_maxmin_cuadrado,0,0.016849517822265625
600,iterative_maxmin_cuadrado,1,0.015114545822143555
600,iterative_maxmin_cuadrado,2,0.014492034912109375
600,iterative_maxmin_cuadrado,3,0.014973640441894531
600,iterative_maxmin_cuadrado,4,0.015035390853881836
600,iterative_maxmin_cuadrado,5,0.014249801635742188
600,iterative_maxmin_cuadrado,6,0.014542579650878906
600,iterative_maxmin_cuadrado,7,0.015192031860351562
600,iterative_maxmin_cuadrado,8,0.016978740692138672
600,iterative_maxmin_cuadrado,9,0.014531850814819336
700,ft.maxmin,0,0.001276254653930664
700,ft.maxmin,1,0.0011658668518066406
700,ft.maxmin,2,0.0011377334594726562
700,ft.maxmin,3,0.0011317729949951172
700,ft.maxmin,4,0.0011339187622070312
700,ft.maxmin,5,0.0011279582977294922
700,ft.maxmin,6,0.0011360645294189453
700,ft.maxmin,7,0.0011315345764160156
700,ft.maxmin,8,0.0011477470397949219
700,ft.maxmin,9,0.0011713504791259766
700,iterative_maxmin_cuadrado,0,0.020475387573242188
700,iterative_maxmin_cuadrado,1,0.02186727523803711
700,iterative_maxmin_cuadrado,2,0.04033803939819336
700,iterative_maxmin_cuadrado,3,0.02245640754699707
700,iterative_maxmin_cuadrado,4,0.028815269470214844
700,iterative_maxmin_cuadrado,5,0.02675342559814453
700,iterative_maxmin_cuadrado,6,0.023171424865722656
700,iterative_maxmin_cuadrado,7,0.034729957580566406
700,iterative_maxmin_cuadrado,8,0.027873992919921875
