c,n,repeticion,orden_efectivo
2,100,0,13
2,100,1,9
2,100,2,9
2,100,3,13
2,100,4,9
2,100,5,13
2,100,6,12
2,100,7,11
2,100,8,14
2,100,9,12
2,100,10,10
2,100,11,17
2,100,12,9
2,100,13,10
2,100,14,17
2,100,15,10
2,100,16,12
2,100,17,13
2,100,18,9
2,100,19,10
2,250,0,20
2,250,1,16
2,250,2,14
2,250,3,16
2,250,4,20
2,250,5,18
2,250,6,13
2,250,7,14
2,250,8,18
2,250,9,18
2,250,10,17
2,250,11,19
2,250,12,14
2,250,13,12
2,250,14,15
2,250,15,18
2,250,16,17
2,250,17,18
2,250,18,16
2,250,19,17
2,500,0,24
2,500,1,18
2,500,2,21
2,500,3,14
2,500,4,17
2,500,5,25
2,500,6,18
2,500,7,19
2,500,8,19
2,500,9,17
2,500,10,19
2,500,11,21
2,500,12,21
2,500,13,16
2,500,14,19
2,500,15,20
2,500,16,18
2,500,17,24
2,500,18,19
2,500,19,31
2,1000,0,20
2,1000,1,23
2,1000,2,19
2,1000,3,34
2,1000,4,20
2,1000,5,33
2,1000,6,26
2,1000,7,20
2,1000,8,18
2,1000,9,22
2,1000,10,19
2,1000,11,23
2,1000,12,29
2,1000,13,20
2,1000,14,20
2,1000,15,25
2,1000,16,23
2,1000,17,25
2,1000,18,25
2,1000,19,22
2,2500,0,37
2,2500,1,24
2,2500,2,36
2,2500,3,30
2,2500,4,30
2,2500,5,27
2,2500,6,22
2,2500,7,43
2,2500,8,40
2,2500,9,42
2,2500,10,26
2,2500,11,28
2,2500,12,26
2,2500,13,50
2,2500,14,25
2,2500,15,29
2,2500,16,34
2,2500,17,33
2,2500,18,29
2,2500,19,23
2,5000,0,47
2,5000,1,42
2,5000,2,39
2,5000,3,47
2,5000,4,52
2,5000,5,46
2,5000,6,44
2,5000,7,31
2,5000,8,32
2,5000,9,62
2,5000,10,33
2,5000,11,52
2,5000,12,46
2,5000,13,43
2,5000,14,65
2,5000,15,34
2,5000,16,50
2,5000,17,42
2,5000,18,39
2,5000,19,31
2,10000,0,37
2,10000,1,38
2,10000,2,39
2,10000,3,46
2,10000,4,67
2,10000,5,79
2,10000,6,56
2,10000,7,33
2,10000,8,38
2,10000,9,39
2,10000,10,46
2,10000,11,72
2,10000,12,50
2,10000,13,73
2,10000,14,30
2,10000,15,46
2,10000,16,41
2,10000,17,58
2,10000,18,63
2,10000,19,46
3,100,0,11
3,100,1,11
3,100,2,11
3,100,3,11
3,100,4,11
3,100,5,9
3,100,6,9
3,100,7,10
3,100,8,11
3,100,9,13
3,100,10,12
3,100,11,13
3,100,12,12
3,100,13,13
3,100,14,8
3,100,15,11
3,100,16,12
3,100,17,12
3,100,18,9
3,100,19,9
3,250,0,19
3,250,1,14
3,250,2,11
3,250,3,21
3,250,4,17
3,250,5,25
3,250,6,22
3,250,7,15
3,250,8,12
3,250,9,25
3,250,10,23
3,250,11,17
3,250,12,17
3,250,13,16
3,250,14,17
3,250,15,21
3,250,16,15
3,250,17,20
3,250,18,13
3,250,19,16
3,500,0,23
3,500,1,25
3,500,2,21
3,500,3,21
3,500,4,23
3,500,5,27
3,500,6,21
3,500,7,16
3,500,8,27
3,500,9,16
3,500,10,26
3,500,11,25
3,500,12,24
3,500,13,27
3,500,14,25
3,500,15,20
3,500,16,31
3,500,17,19
3,500,18,31
3,500,19,31
3,1000,0,29
3,1000,1,26
3,1000,2,34
3,1000,3,32
3,1000,4,31
3,1000,5,28
3,1000,6,26
3,1000,7,30
3,1000,8,43
3,1000,9,39
3,1000,10,36
3,1000,11,24
3,1000,12,25
3,1000,13,26
3,1000,14,26
3,1000,15,27
3,1000,16,25
3,1000,17,30
3,1000,18,31
3,1000,19,30
3,2500,0,33
3,2500,1,39
3,2500,2,38
3,2500,3,34
3,2500,4,39
3,2500,5,43
3,2500,6,43
3,2500,7,30
3,2500,8,41
3,2500,9,33
3,2500,10,32
3,2500,11,33
3,2500,12,34
3,2500,13,31
3,2500,14,34
3,2500,15,38
3,2500,16,32
3,2500,17,36
3,2500,18,36
3,2500,19,40
3,5000,0,40
3,5000,1,39
3,5000,2,40
3,5000,3,38
3,5000,4,44
3,5000,5,44
3,5000,6,49
3,5000,7,42
3,5000,8,48
3,5000,9,37
3,5000,10,38
3,5000,11,41
3,5000,12,40
3,5000,13,36
3,5000,14,40
3,5000,15,47
3,5000,16,39
3,5000,17,41
3,5000,18,42
3,5000,19,41
3,10000,0,49
3,10000,1,45
3,10000,2,47
3,10000,3,45
3,10000,4,45
3,10000,5,42
3,10000,6,45
3,10000,7,53
3,10000,8,41
3,10000,9,48
3,10000,10,42
3,10000,11,41
3,10000,12,49
3,10000,13,38
3,10000,14,46
3,10000,15,50
3,10000,16,48
3,10000,17,40
3,10000,18,46
3,10000,19,45
4,100,0,15
4,100,1,10
4,100,2,12
4,100,3,11
4,100,4,12
4,100,5,11
4,100,6,13
4,100,7,13
4,100,8,11
4,100,9,11
4,100,10,10
4,100,11,13
4,100,12,12
4,100,13,12
4,100,14,9
4,100,15,14
4,100,16,11
4,100,17,10
4,100,18,10
4,100,19,9
4,250,0,14
4,250,1,12
4,250,2,19
4,250,3,14
4,250,4,14
4,250,5,14
4,250,6,11
4,250,7,14
4,250,8,20
4,250,9,13
4,250,10,15
4,250,11,12
4,250,12,13
4,250,13,17
4,250,14,15
4,250,15,15
4,250,16,16
4,250,17,18
4,250,18,15
4,250,19,17
4,500,0,17
4,500,1,15
4,500,2,15
4,500,3,17
4,500,4,20
4,500,5,15
4,500,6,16
4,500,7,19
4,500,8,20
4,500,9,21
4,500,10,16
4,500,11,15
4,500,12,18
4,500,13,17
4,500,14,16
4,500,15,16
4,500,16,16
4,500,17,15
4,500,18,17
4,500,19,16
4,1000,0,20
4,1000,1,22
4,1000,2,20
4,1000,3,21
4,1000,4,21
4,1000,5,18
4,1000,6,25
4,1000,7,19
4,1000,8,22
4,1000,9,20
4,1000,10,18
4,1000,11,20
4,1000,12,18
4,1000,13,19
4,1000,14,17
4,1000,15,18
4,1000,16,18
4,1000,17,20
4,1000,18,20
4,1000,19,18
4,2500,0,22
4,2500,1,24
4,2500,2,22
4,2500,3,23
4,2500,4,22
4,2500,5,25
4,2500,6,24
4,2500,7,21
4,2500,8,23
4,2500,9,24
