n,nodos,funcion,repeticion,tiempo_ms
100,200,iterative_maxmin_cuadrado_gpu,0,11.3518
100,200,iterative_maxmin_cuadrado_gpu,1,29.3479
100,200,iterative_maxmin_cuadrado_gpu,2,28.495
100,200,iterative_maxmin_cuadrado_gpu,3,29.9
100,200,iterative_maxmin_cuadrado_gpu,4,30.1088
100,200,iterative_maxmin_cuadrado_gpu,5,30.7142
100,200,iterative_maxmin_cuadrado_gpu,6,32.961
100,200,iterative_maxmin_cuadrado_gpu,7,30.0748
100,200,iterative_maxmin_cuadrado_gpu,8,29.0889
100,200,iterative_maxmin_cuadrado_gpu,9,29.206
200,400,iterative_maxmin_cuadrado_gpu,0,81.6815
200,400,iterative_maxmin_cuadrado_gpu,1,47.8207
200,400,iterative_maxmin_cuadrado_gpu,2,50.5858
200,400,iterative_maxmin_cuadrado_gpu,3,48.8121
200,400,iterative_maxmin_cuadrado_gpu,4,49.3501
200,400,iterative_maxmin_cuadrado_gpu,5,47.0687
200,400,iterative_maxmin_cuadrado_gpu,6,46.8249
200,400,iterative_maxmin_cuadrado_gpu,7,47.6405
200,400,iterative_maxmin_cuadrado_gpu,8,46.6144
200,400,iterative_maxmin_cuadrado_gpu,9,49.1556
300,600,iterative_maxmin_cuadrado_gpu,0,188.5411
300,600,iterative_maxmin_cuadrado_gpu,1,100.1109
300,600,iterative_maxmin_cuadrado_gpu,2,97.5166
300,600,iterative_maxmin_cuadrado_gpu,3,96.5018
300,600,iterative_maxmin_cuadrado_gpu,4,99.3824
300,600,iterative_maxmin_cuadrado_gpu,5,97.053
300,600,iterative_maxmin_cuadrado_gpu,6,97.1925
300,600,iterative_maxmin_cuadrado_gpu,7,97.5203
300,600,iterative_maxmin_cuadrado_gpu,8,102.0341
300,600,iterative_maxmin_cuadrado_gpu,9,101.3717
400,800,iterative_maxmin_cuadrado_gpu,0,402.1563
400,800,iterative_maxmin_cuadrado_gpu,1,207.2876
400,800,iterative_maxmin_cuadrado_gpu,2,202.6574
400,800,iterative_maxmin_cuadrado_gpu,3,196.9887
400,800,iterative_maxmin_cuadrado_gpu,4,198.1594
400,800,iterative_maxmin_cuadrado_gpu,5,194.9269
400,800,iterative_maxmin_cuadrado_gpu,6,195.4182
400,800,iterative_maxmin_cuadrado_gpu,7,193.4914
400,800,iterative_maxmin_cuadrado_gpu,8,193.5635
400,800,iterative_maxmin_cuadrado_gpu,9,194.4759
500,1000,iterative_maxmin_cuadrado_gpu,0,711.3975
500,1000,iterative_maxmin_cuadrado_gpu,1,359.6432
500,1000,iterative_maxmin_cuadrado_gpu,2,359.5604
500,1000,iterative_maxmin_cuadrado_gpu,3,359.4394
500,1000,iterative_maxmin_cuadrado_gpu,4,358.755
500,1000,iterative_maxmin_cuadrado_gpu,5,357.3008
500,1000,iterative_maxmin_cuadrado_gpu,6,353.7286
500,1000,iterative_maxmin_cuadrado_gpu,7,361.4831
500,1000,iterative_maxmin_cuadrado_gpu,8,360.9746
500,1000,iterative_maxmin_cuadrado_gpu,9,360.6868
600,1200,iterative_maxmin_cuadrado_gpu,0,651.1535
600,1200,iterative_maxmin_cuadrado_gpu,1,600.8483
600,1200,iterative_maxmin_cuadrado_gpu,2,606.4804
600,1200,iterative_maxmin_cuadrado_gpu,3,605.9061
600,1200,iterative_maxmin_cuadrado_gpu,4,609.862
600,1200,iterative_maxmin_cuadrado_gpu,5,603.1091
600,1200,iterative_maxmin_cuadrado_gpu,6,601.7041
600,1200,iterative_maxmin_cuadrado_gpu,7,609.0492
600,1200,iterative_maxmin_cuadrado_gpu,8,607.1948
600,1200,iterative_maxmin_cuadrado_gpu,9,605.1887
100,200,iterative_maxmin_cuadrado_cpu,0,26.2269
100,200,iterative_maxmin_cuadrado_cpu,1,26.4646
100,200,iterative_maxmin_cuadrado_cpu,2,27.0831
100,200,iterative_maxmin_cuadrado_cpu,3,27.7179
100,200,iterative_maxmin_cuadrado_cpu,4,26.7604
100,200,iterative_maxmin_cuadrado_cpu,5,27.0373
100,200,iterative_maxmin_cuadrado_cpu,6,27.9568
100,200,iterative_maxmin_cuadrado_cpu,7,27.2386
100,200,iterative_maxmin_cuadrado_cpu,8,27.6521
100,200,iterative_maxmin_cuadrado_cpu,9,26.3426
200,400,iterative_maxmin_cuadrado_cpu,0,81.6345
200,400,iterative_maxmin_cuadrado_cpu,1,74.8263
200,400,iterative_maxmin_cuadrado_cpu,2,76.4472
200,400,iterative_maxmin_cuadrado_cpu,3,75.4391
200,400,iterative_maxmin_cuadrado_cpu,4,74.1052
200,400,iterative_maxmin_cuadrado_cpu,5,75.1745
200,400,iterative_maxmin_cuadrado_cpu,6,73.9548
200,400,iterative_maxmin_cuadrado_cpu,7,75.3856
200,400,iterative_maxmin_cuadrado_cpu,8,75.6442
200,400,iterative_maxmin_cuadrado_cpu,9,75.4961
300,600,iterative_maxmin_cuadrado_cpu,0,227.7733
300,600,iterative_maxmin_cuadrado_cpu,1,205.978
300,600,iterative_maxmin_cuadrado_cpu,2,204.2533
300,600,iterative_maxmin_cuadrado_cpu,3,204.9018
300,600,iterative_maxmin_cuadrado_cpu,4,203.4339
300,600,iterative_maxmin_cuadrado_cpu,5,203.2875
