label,iteration,regime,M,N,batch,threshold,order,epsilon,avg_degree,max_degree,dense_p,target_p,empirical_p,empirical_avg_degree,eta0_max,eta0_mean,eta0_p95,eta0_std,eta_samples,elapsed_ms
sparse_sweep_N10,0,sparse,10,10,1,0.2,3,0.6,0.5,4,0.2,0.0555556,0.0444444,0.4,3,2.5,3,0.5,8,197.806
sparse_sweep_N13,0,sparse,13,13,1,0.2,3,0.6,0.5,4,0.2,0.0416667,0.0384615,0.461538,3,2.5,3,0.5,12,141.839
sparse_sweep_N16,0,sparse,16,16,1,0.2,3,0.6,0.5,4,0.2,0.0333333,0.025,0.375,3,2.5,3,0.5,14,141.072
sparse_sweep_N20,0,sparse,20,20,1,0.2,3,0.6,0.5,4,0.2,0.0263158,0.0315789,0.6,3,2.59615,3,0.490667,52,139.323
sparse_sweep_N24,0,sparse,24,24,1,0.2,3,0.6,0.5,4,0.2,0.0217391,0.0543478,1.25,3,2.52679,3,0.499282,112,137.118
sparse_sweep_N31,0,sparse,31,31,1,0.2,3,0.6,0.5,4,0.2,0.0166667,0.027957,0.83871,3,2.53521,3,0.498759,71,134.889
sparse_sweep_N38,0,sparse,38,38,1,0.2,3,0.6,0.5,4,0.2,0.0135135,0.0128023,0.473684,3,2.54167,3,0.498261,48,131.227
sparse_sweep_N48,0,sparse,48,48,1,0.2,3,0.6,0.5,4,0.2,0.0106383,0.0124113,0.583333,3,2.52778,3,0.499228,72,139.591
sparse_sweep_N60,0,sparse,60,60,1,0.2,3,0.6,0.5,4,0.2,0.00847458,0.00734463,0.433333,3,2.55556,3,0.496904,81,132.34
sparse_sweep_N75,0,sparse,75,75,1,0.2,3,0.6,0.5,4,0.2,0.00675676,0.00756757,0.56,3,2.54839,3,0.497653,124,142.677
sparse_sweep_N94,0,sparse,94,94,1,0.2,3,0.6,0.5,4,0.2,0.00537634,0.00549073,0.510638,3,2.57718,3,0.494007,149,144.111
sparse_sweep_N117,0,sparse,117,117,1,0.2,3,0.6,0.5,4,0.2,0.00431034,0.00442087,0.512821,3,2.55376,3,0.497101,186,152.715
sparse_sweep_N146,0,sparse,146,146,1,0.2,3,0.6,0.5,4,0.2,0.00344828,0.00330657,0.479452,3,2.53922,3,0.49846,204,173.978
sparse_sweep_N183,0,sparse,183,183,1,0.2,3,0.6,0.5,4,0.2,0.00274725,0.00252207,0.459016,3,2.53947,3,0.498439,228,202.368
sparse_sweep_N229,0,sparse,229,229,1,0.2,3,0.6,0.5,4,0.2,0.00219298,0.00199188,0.454148,3,2.52874,3,0.499174,261,281.418
sparse_sweep_N286,0,sparse,286,286,1,0.2,3,0.6,0.5,4,0.2,0.00175439,0.00154582,0.440559,3,2.55496,3,0.49697,373,473.209
sparse_sweep_N358,0,sparse,358,358,1,0.2,3,0.6,0.5,4,0.2,0.00140056,0.00170571,0.608939,3,2.5549,3,0.496976,683,728.009
