c,n,repeticion,orden_efectivo
2,10,0,1
2,10,1,2
2,10,2,2
2,10,3,1
2,10,4,1
2,10,5,2
2,10,6,1
2,10,7,2
2,10,8,1
2,10,9,1
2,10,10,1
2,10,11,1
2,10,12,2
2,10,13,1
2,10,14,1
2,10,15,1
2,10,16,1
2,10,17,1
2,10,18,1
2,10,19,3
2,100,0,4
2,100,1,4
2,100,2,3
2,100,3,4
2,100,4,5
2,100,5,4
2,100,6,4
2,100,7,4
2,100,8,4
2,100,9,5
2,100,10,3
2,100,11,5
2,100,12,3
2,100,13,4
2,100,14,4
2,100,15,3
2,100,16,4
2,100,17,3
2,100,18,5
2,100,19,4
2,1000,0,5
2,1000,1,8
2,1000,2,6
2,1000,3,7
2,1000,4,6
2,1000,5,6
2,1000,6,5
2,1000,7,5
2,1000,8,6
2,1000,9,6
2,1000,10,7
2,1000,11,5
2,1000,12,7
2,1000,13,6
2,1000,14,5
2,1000,15,5
2,1000,16,6
2,1000,17,6
2,1000,18,6
2,1000,19,6
2,10000,0,7
2,10000,1,8
2,10000,2,7
2,10000,3,8
2,10000,4,7
2,10000,5,8
2,10000,6,7
2,10000,7,8
2,10000,8,9
2,10000,9,10
2,10000,10,7
2,10000,11,7
2,10000,12,8
2,10000,13,7
2,10000,14,7
2,10000,15,7
2,10000,16,9
2,10000,17,7
2,10000,18,6
2,10000,19,8
4,10,0,1
4,10,1,2
4,10,2,2
4,10,3,1
4,10,4,1
4,10,5,2
4,10,6,2
4,10,7,2
4,10,8,1
4,10,9,2
4,10,10,1
4,10,11,2
4,10,12,3
4,10,13,1
4,10,14,1
4,10,15,1
4,10,16,2
4,10,17,1
4,10,18,2
4,10,19,1
4,100,0,7
4,100,1,6
4,100,2,4
4,100,3,7
4,100,4,5
4,100,5,6
4,100,6,5
4,100,7,5
4,100,8,5
4,100,9,5
4,100,10,4
4,100,11,6
4,100,12,5
4,100,13,5
4,100,14,5
4,100,15,4
4,100,16,6
4,100,17,5
4,100,18,5
4,100,19,6
4,1000,0,10
4,1000,1,8
4,1000,2,10
4,1000,3,9
4,1000,4,8
4,1000,5,10
4,1000,6,8
4,1000,7,10
4,1000,8,9
4,1000,9,10
4,1000,10,9
4,1000,11,9
4,1000,12,12
4,1000,13,10
4,1000,14,9
4,1000,15,9
4,1000,16,13
4,1000,17,7
4,1000,18,9
4,1000,19,10
4,10000,0,11
4,10000,1,12
4,10000,2,12
4,10000,3,12
4,10000,4,12
4,10000,5,13
4,10000,6,14
4,10000,7,12
4,10000,8,12
4,10000,9,13
4,10000,10,13
4,10000,11,13
4,10000,12,13
4,10000,13,15
4,10000,14,12
4,10000,15,15
4,10000,16,11
4,10000,17,14
4,10000,18,11
4,10000,19,13
8,10,0,1
8,10,1,2
8,10,2,1
8,10,3,1
8,10,4,1
8,10,5,1
8,10,6,1
8,10,7,1
8,10,8,1
8,10,9,1
8,10,10,1
8,10,11,1
8,10,12,1
8,10,13,1
8,10,14,1
8,10,15,1
8,10,16,1
8,10,17,1
8,10,18,1
8,10,19,1
8,100,0,7
8,100,1,6
8,100,2,5
8,100,3,7
8,100,4,5
8,100,5,7
8,100,6,6
8,100,7,6
8,100,8,6
8,100,9,6
8,100,10,6
8,100,11,6
8,100,12,7
8,100,13,6
8,100,14,6
8,100,15,6
8,100,16,5
8,100,17,5
8,100,18,6
8,100,19,5
8,1000,0,11
8,1000,1,13
8,1000,2,12
8,1000,3,12
8,1000,4,11
8,1000,5,13
8,1000,6,13
8,1000,7,11
8,1000,8,11
8,1000,9,11
8,1000,10,12
8,1000,11,11
8,1000,12,12
8,1000,13,11
8,1000,14,11
8,1000,15,11
8,1000,16,11
8,1000,17,12
8,1000,18,11
8,1000,19,12
8,10000,0,17
8,10000,1,18
8,10000,2,17
8,10000,3,18
8,10000,4,18
8,10000,5,20
8,10000,6,19
8,10000,7,18
8,10000,8,19
8,10000,9,17
8,10000,10,18
8,10000,11,18
8,10000,12,17
8,10000,13,18
8,10000,14,17
8,10000,15,17
8,10000,16,18
8,10000,17,19
8,10000,18,19
8,10000,19,21
