n,nodos,funcion,repeticion,tiempo_ms
100,200,iterative_maxmin_cuadrado,0,9.8014
100,200,iterative_maxmin_cuadrado,1,9.9563
100,200,iterative_maxmin_cuadrado,2,10.0005
100,200,iterative_maxmin_cuadrado,3,9.8321
100,200,iterative_maxmin_cuadrado,4,10.3189
100,200,iterative_maxmin_cuadrado,5,10.4623
100,200,iterative_maxmin_cuadrado,6,10.4284
100,200,iterative_maxmin_cuadrado,7,10.5785
100,200,iterative_maxmin_cuadrado,8,10.0751
100,200,iterative_maxmin_cuadrado,9,10.4167
200,400,iterative_maxmin_cuadrado,0,59.8486
200,400,iterative_maxmin_cuadrado,1,28.8283
200,400,iterative_maxmin_cuadrado,2,28.6782
200,400,iterative_maxmin_cuadrado,3,29.3097
200,400,iterative_maxmin_cuadrado,4,29.5526
200,400,iterative_maxmin_cuadrado,5,29.0039
200,400,iterative_maxmin_cuadrado,6,29.2253
200,400,iterative_maxmin_cuadrado,7,28.7883
200,400,iterative_maxmin_cuadrado,8,29.2843
200,400,iterative_maxmin_cuadrado,9,29.3363
300,600,iterative_maxmin_cuadrado,0,182.2479
300,600,iterative_maxmin_cuadrado,1,80.6793
300,600,iterative_maxmin_cuadrado,2,81.8001
300,600,iterative_maxmin_cuadrado,3,81.8508
300,600,iterative_maxmin_cuadrado,4,80.3934
300,600,iterative_maxmin_cuadrado,5,80.8494
300,600,iterative_maxmin_cuadrado,6,83.1733
300,600,iterative_maxmin_cuadrado,7,82.4589
300,600,iterative_maxmin_cuadrado,8,81.3365
300,600,iterative_maxmin_cuadrado,9,81.9136
400,800,iterative_maxmin_cuadrado,0,449.056
400,800,iterative_maxmin_cuadrado,1,179.6563
400,800,iterative_maxmin_cuadrado,2,181.6133
400,800,iterative_maxmin_cuadrado,3,181.9145
400,800,iterative_maxmin_cuadrado,4,180.6812
400,800,iterative_maxmin_cuadrado,5,179.1988
400,800,iterative_maxmin_cuadrado,6,181.4991
400,800,iterative_maxmin_cuadrado,7,181.0668
400,800,iterative_maxmin_cuadrado,8,181.2607
400,800,iterative_maxmin_cuadrado,9,183.1756
500,1000,iterative_maxmin_cuadrado,0,881.6271
500,1000,iterative_maxmin_cuadrado,1,346.9874
500,1000,iterative_maxmin_cuadrado,2,344.0197
500,1000,iterative_maxmin_cuadrado,3,348.2062
500,1000,iterative_maxmin_cuadrado,4,343.7658
500,1000,iterative_maxmin_cuadrado,5,345.1083
500,1000,iterative_maxmin_cuadrado,6,344.082
500,1000,iterative_maxmin_cuadrado,7,343.619
500,1000,iterative_maxmin_cuadrado,8,346.3306
500,1000,iterative_maxmin_cuadrado,9,342.5447
600,1200,iterative_maxmin_cuadrado,0,891.436
600,1200,iterative_maxmin_cuadrado,1,593.3852
600,1200,iterative_maxmin_cuadrado,2,592.924
600,1200,iterative_maxmin_cuadrado,3,593.7078
600,1200,iterative_maxmin_cuadrado,4,591.9223
600,1200,iterative_maxmin_cuadrado,5,596.3087
600,1200,iterative_maxmin_cuadrado,6,593.3301
600,1200,iterative_maxmin_cuadrado,7,596.5614
600,1200,iterative_maxmin_cuadrado,8,593.8644
600,1200,iterative_maxmin_cuadrado,9,595.4583
100,200,ft.maxmin,0,0.9035
100,200,ft.maxmin,1,0.6408
100,200,ft.maxmin,2,0.6318
100,200,ft.maxmin,3,0.6259
100,200,ft.maxmin,4,0.5995
100,200,ft.maxmin,5,0.6089
100,200,ft.maxmin,6,0.6242
100,200,ft.maxmin,7,0.6159
100,200,ft.maxmin,8,0.6263
100,200,ft.maxmin,9,0.6293
200,400,ft.maxmin,0,3.9271
200,400,ft.maxmin,1,3.5709
200,400,ft.maxmin,2,3.5154
200,400,ft.maxmin,3,3.4959
200,400,ft.maxmin,4,3.5046
200,400,ft.maxmin,5,3.463
200,400,ft.maxmin,6,3.4865
200,400,ft.maxmin,7,3.5166
200,400,ft.maxmin,8,3.5095
200,400,ft.maxmin,9,3.3103
300,600,ft.maxmin,0,11.5555
300,600,ft.maxmin,1,10.331
300,600,ft.maxmin,2,10.0307
300,600,ft.maxmin,3,10.0065
300,600,ft.maxmin,4,11.5939
300,600,ft.maxmin,5,11.4989
300,600,ft.maxmin,6,11.5222
300,600,ft.maxmin,7,11.4643
300,600,ft.maxmin,8,11.5007
300,600,ft.maxmin,9,11.5166
400,800,ft.maxmin,0,26.6076
400,800,ft.maxmin,1,25.8088
400,800,ft.maxmin,2,25.4717
400,800,ft.maxmin,3,25.8111
